nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,jornada,isapre,contrato,codigo_reserva,codigo_agenda,fecha,monto,cantidad_personas,estado_disponibilidad,numero_viaje,lugar_origen,lugar_llegada,fecha_salida,fecha_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo_de_bus,comodidades,escalas,clase,paradas
"Diego Córdova Covarrubias",25.453.587,7,diego5279@viajes.ceele,dicóco,9018htmeZQUe,"+56 2 2798 2874",Nocturno,"Más vida","Part time",583249,71406,2025-12-30,931000,7,"No disponible",17027,Barcelona,Jaén,2026-09-09,2026-09-10,36,1742,133000,"Crucero del Norte",Cama,"{TV,Comida,Baño}",{},,{}
"Jorge Ocampo Sanabria",24329686,,jorge8635@viajes.cl,joocsa,rad8bnWXdDiiq,"+56 2 1637 4205",,Fonasa,"Part time",583251,71406,,1064000,7,,29836,Jaén,PARLA!!!,2026/09/11,2026/09/13,,4274,152000,Alsa,Cama,"{""Asientos reclinables"",Agua,Baño}",{},,{}
"Mayte Duarte Cardona",29345350,0,maduca@viajes.ceele,maduca,GvuQVZ4hm9d3xV,+56-2-5172-1954,Diurno,Banmédica,"Full time",583256,71406,2026-02-27,1127000,7,"No disponible",84147,Parla,"ALCALá DE HENARES!!!",2026-09-17,2026-09-19,35,3504,161000,"Crucero del Norte",Cama,"{""Asientos reclinables"",Baño,Comida}",{},,{}
"Esteban Díaz Ávalos",15444556,0,esteban919@viajes.cl,esdíáv,PLr7htgNe,"+56 9 2729 7966",Diurno,Fonasa,"Part time",583263,70803,2025-12-25,504000,9,"No disponible",95489,Mérida,Logroño,2026-03-07,2026-03-07,59,581,56000,"Wizz Air",,{},{},"Clase ejecutiva",{}
"Arturo Prado Tórrez",16861111,0,arturo6379@viajes.cl,Arturotórrez,G5i2MPhyf,"+56 2 4382 8892",Diurno,"Más vida","Part time",583264,70803,2025-07-17,1746000,9,"No disponible",31378,Logroño,Cáceres,2026-03-07,2026-03-09,16,3933,194000,Lufthansa,,{},"{""Talavera de la Reina"",Orense,Zamora,Orense}","Primera clase",{}
"Ramona Baeza Delacrúz",16506170,5,rabade@viajes.cl,ramona1424,HJk5oHuXMlt,"+56 2 8743 6801",Nocturno,"Más vida","Part time",583265,72010,2025-06-18,-658000,7,"No disponible",3488,Alcobendas,"Dos Hermanas",2025-07-12,2025-07-12,11,878,94000,"HŽ (Croacia)",,"{""Aire acondicionado"",Comida,Calefacción}",{},,{Telde}
"Laura Escamilla Galarza",16200758,0,laesga@viajes.cl,laura1430,4L92HA6sjh8t0,"+56 9 9427 0833",Diurno,Banmédica,"Part time",583267,63513,2026-03-15,255000,3,"No disponible",15274,Toledo,Rubí,2026-10-10,2026-10-12,32,2940,85000,"EME Bus",Cama,"{Wifi,TV,""Aire acondicionado""}",{},,{}
"Dorotea Martínez Vásquez",5880472,0,domavOe@viajes.cl,Doroteavásquez,Gk6qS99zCc,"+56 2 4078 2065",Nocturno,Fonasa,"Full time",583268,63513,2026-02-19,405000,3,"No disponible",69008,Rubí,Gecho,2026-10-12,2026-10-14,48,4096,135000,Turbus,Cama,"{Calefacción,""Aire acondicionado"",Wifi}",{},,{}
"María Cristina Gil Villanueva",16.725.992,8,macrgivi@viajes.cl,Maríavillanueva,owaR6y1Edbsj6hl,"+56 2 2022 6970",Diurno,Consalud,"Part time",583269,61949,2025-03-13,-1764000,9,"No disponible",54776,gerona#,Logroño,2025-11-16,2025-11-17,47,2184,196000,"Buses Ahumada",Cama,"{""Aire acondicionado"",Agua,TV}",{},,{}
"Marco Antonio Velasco Cuellar",5791504,8,maanvecu@viajes.cl,Marcocuellar,w1Pnqr8oJ2,"+56 9 0885 2146",Nocturno,Fonasa,"Full time",583270,64366,2025-01-06,636000,4,"No disponible",35644,Baracaldo,Jaén,2025-07-24,2025-07-26,95,3449,159000,Qantas,,{},{Tarragona},"Clase ejecutiva",{}
"Hernán Orellana Polanco",7952420,4,hernOen2763@viajes.cl,heorpo,Eq8TxwSaa,"+56 9 4198 4721",Diurno,Consalud,"Part time",583271,64366,2025-02-07,992000,4,"No disponible",64961,Jaén,"Dos Hermanas",2025-07-26,2025-07-28,52,3113,248000,"LATAM Airlines",,{},"{Orense,Móstoles}","Primera clase",{}
"Silvia Gálvez Villegas",2872125,0,silvia6632@viajes.cl,silvia1738,6SbkUgVlfmpci,"+56 2 4474 6715",Diurno,Consalud,"Full time",583272,64366,2025/04/17,904000,4,"No disponible",81177,"Dos Hermanas",Avilés,2025/07/28,2025/07/30,47,3371,226000,Avianca,,{},{León},"Clase ejecutiva",{}
"Eduardo Véliz Gálvez",17.165.180,8,EduardogOelvez@viajes.cl,Eduardogálvez,me85BGmqns6v,"+56 9 1919 0635",Nocturno,Colmena,"Part time",583273,71820,2025-01-23,1400000,7,"No disponible",77465,málaga#,Ávila,2025-07-26,2025-07-26,30,929,200000,Alsa,Cama,"{""Aire acondicionado"",Baño,Agua}",{},,{}
"Sr. Dolores Domínquez Montenegro",15565727,8,sr.4355@viajes.cl,sr.1337,lFi6gwLK1YeR5jH,"+56 2 7311 2306",Nocturno,"Más vida","Full time",583280,71820,2025-04-15,497000,7,"No disponible",62562,Ávila,Segovia,2025-08-01,2025-08-01,49,564,71000,Andesmar,Cama,"{""Aire acondicionado"",""Asientos reclinables"",Calefacción}",{},,{}
"Jerónimo Calvillo Olivares",16472735,1,jecaol@viajes.cl,jecaol,O68tlM4Nut1F,+56-9-1454-0617,Diurno,Consalud,"Part time",583288,71820,2025-08-02,-602000,7,"No disponible",32582,segovia#,"Jerez de la Frontera",2025-08-08,2025-08-09,48,2109,86000,Futura,Cama,"{Wifi,Baño,Calefacción}",{},,{}
"Esperanza Ornelas Velázquez",27432896,7,EsperanzavelOezquez@viajes.cl,esperanza491,tkU9b4KKt5h,"+56 9 0497 4495",Diurno,Colmena,"Full time",583289,66445,2025-01-31,2230000,5,"No disponible",64582,Córdoba,"Jerez de la Frontera",2025-03-29,2025-03-31,95,3808,446000,"Southwest Airlines",,{},"{Arrecife,Almería,Coslada,Mérida,Salamanca}","Primera clase",{}
"José Salazar Olivera",12906747,0,josaol@viajes.cl,josé8360,sAGEhvJC1,"+56 2 8657 3991",Nocturno,Consalud,"Full time",583291,66445,2025-03-13,790000,5,"No disponible",71765,"Jerez de la Frontera",Elda,2025-04-01,2025-04-02,57,1726,158000,Vueling,,{},"{Paterna,""Talavera de la Reina""}","Clase económica",{}
"Beatriz Camarillo Cazares",522617,1,Beatrizcazares@viajes.cl,Beatrizcazares,lJIOLAC7k,"+56 9 9743 3847",Nocturno,Banmédica,"Part time",583295,66650,2025-08-17,1288000,8,"No disponible",91191,Ferrol,Linares,2025-12-25,2025-12-25,50,948,161000,"Buses Ahumada",Cama,"{""Aire acondicionado"",Agua,Calefacción}",{},,{}
"Sr. Sergio Becerra Escalante",11334197,1,Sr.escalante@viajes.cl,sr.6036,wUTr5P30,"+56 9 6196 6596",Diurno,Colmena,"Part time",583296,66650,2025-05-27,712000,8,"No disponible",18757,Linares,Sabadell,2025-12-25,2025-12-26,37,1521,89000,Futura,Cama,"{Baño,Wifi,TV}",{},,{}
"Elena Garibay Henríquez",8690351,2,elena8997@viajes.cl,elena7908,OlcGiw09B,"+56 9 1289 1722",Diurno,Fonasa,"Part time",583297,63797,2026-01-11,35000,1,"No disponible",32346,Gerona,Zaragoza,2026-06-20,2026-06-20,5,939,35000,JetBlue,,{},{Alcobendas},"Clase económica",{}
"Joaquín Piña Madera",19329173,2,JoaquOAnmadera@viajes.cl,joaquín7022,3IkakOoOwyz3,"+56 9 2690 4173",Nocturno,"Más vida","Part time",583299,,,85000,1,"No disponible",70942,zaragoza#,Cádiz,,2026-06-21,,1355,85000,"British Airways",,{},{Arrecife},"Clase económica",
"Leticia Orosco Bravo",21143382,5,leorbr@viajes.ceele,leticia6294,Ic3qaxAsiLCqy00,"+56 9 3361 6227",Diurno,Fonasa,"Full time",583301,63797,2026-05-06,104000,1,"No disponible",73934,Cádiz,Valladolid,2026-06-22,2026-06-22,55,864,104000,"American Airlines",,{},{Leganés},"Clase económica",{}
"Catalina Mercado Villarreal",16788906,9,Catalinavillarreal@viajes.cl,camevi,2BPUL6rg289,"+56 9 0587 4377",Nocturno,"Más vida","Part time",583302,67782,2025-01-04,497000,7,"No disponible",9449,Mataró,Cádiz,2025-05-18,2025-05-18,21,1077,71000,Amtrak,,"{Baño,Wifi,Calefacción}",{},,"{""San Cristróbal de la Laguna""}"
"Sta. Julia Ornelas Becerra",15051283,2,sta.5013@viajes.cl,stjuorbe,UkNhP4JBGcBX,"+56 2 9805 9840",Diurno,Banmédica,"Part time",583303,67782,2025-05-01,833000,7,"No disponible",42934,Cádiz,Baracaldo,2025-05-18,2025-05-18,71,880,119000,"ŽFBH (Bosnia y Herzegovina)",,"{Calefacción,Comida,Agua}",{},,"{""Las Palmas de Gran Canaria"",León,""Mollet del Vallés""}"
"Raquel Miramontes Palomino",1233417,6,raquel239@viajes.cl,raquel7548,LNaUWSa7T9,"+56 2 3614 5103",Diurno,"Más vida","Full time",583304,67782,2025-02-02,1869000,7,"No disponible",49604,Baracaldo,Benalmádena,2025-05-18,2025-05-20,27,3169,267000,"Deutsche Bahn (DB)",,"{Agua,Wifi,""Asientos reclinables"",TV,Comida,""Aire acondicionado""}",{},,"{Algeciras,Guadalajara,Alcorcón,""Mollet del Vallés"",Orense}"
"Ramón Quintanilla Valdivia",25254804,1,RamOInvaldivia@@viajes.cl,Ramónvaldivia,81A7cv7vaNRM,"+56 9 4269 8156",Diurno,Colmena,"Part time",583305,61339,2025-03-26,980000,5,"No disponible",26038,mérida#,Mataró,2025-08-22,2025-08-23,10,1934,196000,"RZD (Rusia)",,"{TV,Calefacción,Baño,Comida}",{},,"{Vitoria,Granada}"
"Lourdes Barela Reyes",14002832,0,Lourdesreyes@viajes.cl,lobare,2O267iLs22K9g,"+56 2 1484 2001",Nocturno,"Más vida","Part time",583306,61339,2025-02-16,210000,5,"No disponible",43447,Mataró,"San Sebastían de los Reyes",2025-08-23,2025-08-23,33,1379,42000,"PKP (Polonia)",,"{Comida,Wifi,Calefacción}",{},,"{Mataró,""Santa Lucía de Tirajana"",Avilés,Parla,Logroño}"
"Inés Jimínez Tirado",24657578,9,inOos6187@viajes.cl,Inéstirado,zQbeCydOC72EGgi,"+56 9 9904 2038",Nocturno,Colmena,"Part time",583314,61339,2025-01-21,1200000,5,"No disponible",43126,"San Sebastían de los Reyes",Sabadell,2025-08-30,2025-09-01,62,2967,240000,"SBB (Suiza)",,"{""Asientos reclinables"",Agua,Baño,Calefacción,TV,""Aire acondicionado""}",{},,"{""Chiclana de la Frontera"",Segovia,Irún,""Alcalá de Guadaira"",Córdoba}"
"Sta. Timoteo Mena Carrasco",9963791,9,sttimeca@viajes.cl,sta.6489,wJV3bLmDmw61LJEa,"+56 2 1986 9180",Diurno,Colmena,"Part time",583315,70113,2025-10-17,278000,2,"No disponible",40569,Pamplona,Telde,2026-08-22,2026-08-22,42,1237,139000,JetSur,Cama,"{""Aire acondicionado"",Wifi,Calefacción}",{},,{}
"Gloria Bonilla Oquendo",15160537,0,gloria2259@viajes.cl,gloria1956,cSWJU2Z28,"+56 2 8105 3143",Nocturno,Banmédica,"Full time",583322,70113,2025-08-11,382000,2,"No disponible",99390,Telde,IRúN!!!,2026-08-28,2026-08-29,37,1737,191000,Chevallier,Cama,"{Baño,""Aire acondicionado"",Wifi}",{},,{}
"Guillermo Ocampo Flores",4646651,9,guillermo7822@viajes.cl,Guillermoflores,2MZXHeJYGFEq4kcM,"+56 9 8119 5395",Nocturno,Consalud,"Full time",583325,70113,2026-03-04,364000,2,"No disponible",43072,Irún,Zaragoza,2026-08-31,2026-09-01,39,2581,182000,"Buses Bio Bio",Cama,"{""Asientos reclinables"",Agua,Comida}",{},,{}
"Patricio Sierra Sisneros",14076335,7,Patriciosisneros@viajes.cl,pasisi,NA7LaUh6tIbVWO,"+56 9 0489 1336",Diurno,Fonasa,"Part time",583326,64960,2025-10-04,594000,3,"No disponible",8373,sevilla#,"Dos Hermanas",2025-11-07,2025-11-09,36,4144,198000,ADO,Cama,"{""Aire acondicionado"",""Asientos reclinables"",Comida}",{},,{}
"José Ponce Juárez",22218550,5,jopoju@viajes.cl,Joséjuárez,mUHA5TLGb,"+56 9 2782 4421",Diurno,Consalud,"Part time",583328,64960,2025/01/11,564000,3,"No disponible",10758,"Dos Hermanas",Albacete,2025/11/10,2025/11/11,44,2175,188000,"Buses Romani",Cama,"{""Asientos reclinables"",TV,""Aire acondicionado""}",{},,{}
"Adriana Acevedo Jasso",10.398.281,2,Adrianajasso@viajes.ceele,adriana1808,QPyFsZ8locmteBU3,"+56 2 8894 6626",Diurno,Fonasa,"Part time",583329,71420,2025-01-02,895000,5,"No disponible",68828,Algeciras,"COLLADO VILLALBA!!!",2025-09-16,2025-09-17,43,1473,179000,"Buses Ahumada",Cama,"{Comida,""Aire acondicionado"",Calefacción}",{},,{}
"Lorenzo Zapata Contreras",29601895,3,lozaco@viajes.cl,lozaco,wAVh1afO7EgmPqT2,"+56 9 3425 3386",Nocturno,Fonasa,"Full time",583330,70917,2025-04-05,1127000,7,"No disponible",80001,valencia#,ZAMORA!!!,2026-06-04,2026-06-06,40,4183,161000,"Flecha Bus",Cama,"{Wifi,Calefacción,""Aire acondicionado""}",{},,{}
"Sta. Armando Vázquez Rangel",9912124,6,starvOera@viajes.cl,starvára,CY31L1n4Cpl76mhL,"+56 9 4491 7220",Nocturno,Colmena,"Full time",583331,70917,2025-06-20,1365000,7,"No disponible",97983,Zamora,Cádiz,2026-06-06,2026-06-07,31,2343,195000,BoltBus,Cama,"{Wifi,""Aire acondicionado"",Calefacción}",{},,{}
"Sr. Samuel Sepúlveda Quintanilla",8754057,0,srsasequ@viajes.cl,srsasequ,jn5SaNiG3YJv,"+56 2 3876 0743",Diurno,Consalud,"Full time",583332,66960,2026-07-29,572000,4,"No disponible",37072,Murcia,Orihuela,2026-09-25,2026-09-26,42,1499,143000,"Flecha Bus",Cama,"{""Aire acondicionado"",Comida,""Asientos reclinables""}",{},,{}
"Rosalia Matos Ibarra",5620994,8,rosalia2341@viajes.cl,rosalia7290,WCgB4qgaS8T5,+56-2-8795-9693,Diurno,"Más vida","Part time",583336,66960,2025-02-05,724000,4,"No disponible",97755,Orihuela,VIGO!!!,2026-09-29,2026-09-29,47,1351,181000,Monbus,Cama,"{""Aire acondicionado"",TV,""Asientos reclinables""}",{},,{}
"Pedro Chapa Salgado",25717817,0,Pedrosalgado@viajes.cl,pechsa,F105BRc7Je,"+56 2 0146 8584",Nocturno,Consalud,"Full time",583337,66960,2026/04/04,444000,4,"No disponible",15547,Vigo,"SANTA CRUZ DE TENERIFE!!!",2026/09/29,2026/09/30,49,2471,111000,BoltBus,Cama,"{Baño,Comida,Agua}",{},,{}
"Sr. Timoteo Segura Caldera",3726127,0,sr.6363@viajes.cl,sr.5666,WP3POoLaGrmc,"+56 2 5885 6801",Diurno,"Más vida","Part time",583338,67795,2025-03-27,450000,5,"No disponible",61477,Ceuta,Mérida,2025-06-14,2025-06-14,79,867,90000,KLM,,{},{Jaén},"Clase económica",{}
"Susana Saldivar Calderón",13363771,0,susana1494@viajes.cl,susana1226,c8x8k8cDzirLSHJ6,"+56 2 0401 6532",Nocturno,"Más vida","Full time",583343,67795,2025-04-18,905000,5,"No disponible",61600,Mérida,Elche,2025-06-18,2025-06-20,98,2921,181000,WestJet,,{},"{""Collado Villalba"",Torrevieja,Palencia}","Clase ejecutiva",{}
"Jacobo Velázquez Ibarra",4386890,0,,,24uc3YWHwTM,"+56 2 9468 0545",,"Más vida","Part time",,67795,2025-06-02,-760000,5,"No disponible",43744,Elche,BADAJOZ!!!,,2025-06-23,56,1881,152000,EasyJet,,{},{},"Clase ejecutiva",{}
"Gregorio Granados Benítez",16699553,1,grgrbe@viajes.cl,gregorio6708,LEY6BNk1hDAaT,"+56 9 7775 2304",Diurno,Consalud,"Part time",583350,66930,2025-06-29,462000,6,"No disponible",41510,Linares,Guadalajara,2025-08-21,2025-08-21,22,802,77000,WestJet,,{},"{""Santa Lucía de Tirajana""}","Clase económica",{}
"Pablo Amaya Rincón",27654843,3,paamri@viajes.cl,pablo3401,0ccchGCc4JW9m,"+56 2 1581 5859",Diurno,"Más vida","Part time",583357,66930,2025-08-18,546000,6,"No disponible",16393,Guadalajara,"Talavera de la Reina",2025-08-27,2025-08-28,88,2584,91000,WestJet,,{},{Gerona},"Clase ejecutiva",{}
"Bernardo Cepeda Castro",29.511.001,5,bernardo9219@viajes.ceele,Bernardocastro,YBFRRXc3ZYFuv2VD,"+56 2 0112 6290",,Consalud,,583363,66930,,480000,6,"No disponible",77992,"Talavera de la Reina","El Prat de LLobregat",2025-09-02,2025-09-02,88,,,"American Airlines",,{},{},"Clase económica",{}
"Eloisa Madrigal Granado",16354915,8,Eloisagranado@viajes.cl,elmagr,ZdQM6POOGfwWfZ7t,"+56 2 1853 5137",Nocturno,Banmédica,"Part time",583364,67429,2025-08-24,840000,10,"No disponible",25250,"Dos Hermanas",Logroño,2026-05-26,2026-05-27,16,2344,84000,"Southwest Airlines",,{},"{Pontevedra,""Castellón de la Plana"",Gecho}","Primera clase",{}
"Berta Valdivia Velázquez",14668478,5,bevave@viajes.cl,berta3344,J3Ub8BG1lh5Zakp,"+56 2 7233 2787",Diurno,"Más vida","Full time",583365,67146,2025-02-10,210000,3,"No disponible",36796,Avilés,Lugo,2025-06-06,2025-06-06,46,885,70000,BoltBus,Cama,"{Baño,""Aire acondicionado"",Agua}",{},,{}
"Cecilia Ferrer Pedraza",13067740,1,cecilia2735@viajes.cl,Ceciliapedraza,3VPv7WIav,"+56 2 1373 8749",Diurno,Colmena,"Full time",583367,67146,2025-02-06,-477000,3,"No disponible",21948,Lugo,Gecho,2025-06-07,2025-06-07,48,622,159000,"Buses Bio Bio",Cama,"{""Asientos reclinables"",Agua,Baño}",{},,{}
"Nicolás Véliz Ozuna",7290218,1,nicolOes4043@viajes.cl,Nicolásozuna,jWsn6EhTnir2,"+56 9 9277 0716",Nocturno,Colmena,"Full time",583368,67146,2025-03-17,375000,3,"No disponible",15329,Gecho,Granollers,2025-06-07,2025-06-08,46,2200,125000,JetSur,Cama,"{""Asientos reclinables"",Wifi,Agua}",{},,{}
"Timoteo Bravo Cardona",20371355,0,timoteo6041@viajes.cl,tibrca,gX7b17uo,"+56 2 5066 7694",Diurno,Consalud,"Part time",583374,62754,2025-09-07,1116000,6,"No disponible",40140,Albacete,Viladecans,2025-12-01,2025-12-02,43,2553,186000,FlixBus,Cama,"{TV,""Asientos reclinables"",Comida}",{},,{}
"Sra. Rosario Linares Rojo",10.055.027,0,sra.3913@viajes.cl,Sra.rojo,z8FEvzEG1x,"+56 2 5780 6065",Nocturno,Consalud,"Part time",583375,62754,2025-10-24,-696000,6,"No disponible",37372,viladecans#,Calahorra,2025-12-02,2025-12-04,41,2881,116000,"Via Bariloche",Cama,"{Baño,""Asientos reclinables"",Comida}",{},,{}
"Cristobal Briseño Benavídez",7638017,1,cristobal3126@viajes.cl,crbrbe,4Td7nixf7,"+56 9 6226 5790",Diurno,Colmena,"Part time",583380,62754,2025-02-08,510000,6,"No disponible",58865,Calahorra,Móstoles,2025-12-08,2025-12-10,35,3450,85000,Plusmar,Cama,"{Calefacción,Agua,TV}",{},,{}
"Florencia Collazo Sosa",26829798,7,flcoso@viajes.cl,Florenciasosa,q1L5NtZxnx,"+56 2 6395 0794",Nocturno,"Más vida","Part time",583381,67568,2025-10-14,1208000,4,"No disponible",28679,Bilbao,Tarragona,2026-10-08,2026-10-10,92,3394,302000,"Nederlandse Sp",,"{Wifi,Comida,TV,""Asientos reclinables"",Calefacción,Agua}",{},,"{Telde,Rubí,Avilés}"
"Marilu Quintanilla Rivero",27.226.720,0,marilu8879@viajes.ceele,marilu549,cp1IptDGgPBk2lGP,+56-9-7207-7963,Diurno,Banmédica,"Part time",583386,67568,2025-01-13,-356000,4,"No disponible",88003,Tarragona,TORREMOLINOS!!!,2026-10-14,2026-10-14,11,930,89000,Amtrak,,"{""Asientos reclinables"",""Aire acondicionado"",TV}",{},,"{""Sanlúcar de Barrameda"",""Talavera de la Reina"",""Santiago de Compostela"",Coslada}"
"Ariadna Villalobos Reyes",2964521,3,arvire@viajes.cl,arvire,YSFOm76Wx0t4FF,"+56 2 7743 3508",Nocturno,Banmédica,"Part time",583388,63673,2025-01-20,1856000,8,"No disponible",45678,Cáceres,Murcia,2025-05-30,2025-06-01,67,4193,232000,AVE,,"{Comida,TV,""Aire acondicionado"",Agua,Wifi,Calefacción,Baño}",{},,{}
"Sra. Catalina Collazo Olvera",23079039,6,srcacool@viajes.ceele,srcacool,2XKlyuBudgZMw,"+56 2 1081 9144",Nocturno,Banmédica,"Part time",583391,61915,2025-04-13,1576000,8,"No disponible",54426,Albacete,Fuenlabrada,2025-09-10,2025-09-11,8,2452,197000,"RZD (Rusia)",,"{Calefacción,""Asientos reclinables"",Wifi,Agua,TV}",{},,{}
"Sofia Muro Ornelas",3457714,5,somuor@viajes.cl,somuor,O7sEgUcZ8,"+56 9 6221 8189",Nocturno,"Más vida","Full time",583393,61915,2025-05-22,2120000,8,"No disponible",85015,Fuenlabrada,"Cerdañola del Vallés",2025-09-12,2025-09-14,24,3180,265000,"SNCB (Bélgica)",,"{Baño,Comida,""Asientos reclinables"",Agua,TV,Calefacción}",{},,{}
"Sra. Marco Antonio Peralta Camacho",12502036,4,Sra.camacho@viajes.cl,Sra.camacho,bdU4aT8i,"+56 9 3341 5561",Nocturno,"Más vida","Part time",583394,61915,2025-07-11,1600000,8,"No disponible",63933,"Cerdañola del Vallés","El Ejido",2025-09-14,2025-09-15,24,2723,200000,"ŽFBH (Bosnia y Herzegovina)",,"{Comida,""Asientos reclinables"",""Aire acondicionado"",Baño,Agua}",{},,"{""Molina de Segura"",Baracaldo,""Cornellá de Llobregat""}"
"Benjamín Jáquez Escalante",8791226,4,benjamOAn1243@viajes.cl,bejáes,FCF6is1P8CdKYw1,"+56 9 8296 9812",Nocturno,"Más vida","Full time",583395,65327,2025-08-18,1467000,9,"No disponible",3319,Logroño,Móstoles,2026-04-24,2026-04-26,73,3996,163000,Italo,,"{Baño,Wifi,""Aire acondicionado"",Agua,""Asientos reclinables"",Comida,TV}",{},,{Ávila}
"Pablo Amaya Rincón",27654843,3,paamri@viajes.cl,pablo3401,0ccchGCc4JW9m,"+56 2 1581 5859",Diurno,"Más vida","Part time",583399,67614,2025-09-27,-927000,9,"No disponible",38271,Tarragona,VIGO!!!,2026-10-21,2026-10-22,35,2221,103000,Socibus,Cama,"{Calefacción,Baño,Agua}",{},,{}
"Ana Luisa Granado Espino",16670899,0,ana4570@viajes.cl,ana180,J1fEXLzB0xGFksYP,"+56 9 5943 1847",Nocturno,Fonasa,"Full time",583405,67614,2026-01-05,1521000,9,"No disponible",34237,Vigo,"Santa Coloma de Gramanet",2026-10-27,2026-10-28,42,1915,169000,"Primera Plus",Cama,"{Agua,TV,Comida}",{},,{}
"Horacio Serna Matías",16.140.338,5,horacio206@viajes.cl,horacio5025,gCBt7MqaTM8,"+56 2 5416 8458",Diurno,Colmena,"Part time",583407,71272,2025-03-27,552000,8,"No disponible",74945,Pontevedra,Calahorra,2026-03-25,2026-03-27,31,3520,69000,Socibus,Cama,"{Agua,""Aire acondicionado"",TV}",{},,{}
"Jerónimo Reyes Jaimes",20245704,5,JerOInimojaimes@@viajes.cl,jerónimo737,TnOzw3EoP2c,"+56 9 2509 4648",Nocturno,Colmena,"Full time",583408,71272,2025-12-02,440000,8,"No disponible",97978,Calahorra,Torremolinos,2026-03-27,2026-03-28,48,1450,55000,Avanza,Cama,"{Wifi,Calefacción,TV}",{},,{}
"Sr. Guillermina Malave Lerma",5495033,0,srgumale@viajes.cl,Sr.lerma,5Fyus2SunG2U,"+56 2 5061 3276",Nocturno,Consalud,"Part time",583409,64784,2025-02-14,846000,6,"No disponible",80255,Irún,Linares,2025-03-16,2025-03-17,50,1543,141000,"Omnibus de México",Cama,"{Wifi,Comida,""Aire acondicionado""}",{},,{}
"Eloisa Ávila Villarreal",16439552,9,eloisa7840@viajes.cl,Eloisavillarreal,IX4dOoxbTOHvIr,"+56 9 8461 4350",Nocturno,Consalud,"Part time",583417,63958,,1000000,5,"No disponible",,"Santiago de Compostela",Gandía,2025/08/15,2025/08/15,31,1171,200000,"ETN Turistar",,,{},,{}
"Sra. Luz Longoria Urbina",17.509.515,2,srlulour@viajes.ceele,sra.5851,iA9q4qiJ3Y1R,"+56 9 1857 2387",Nocturno,Banmédica,"Part time",583423,63958,2025-01-29,475000,5,"No disponible",29252,Gandía,"Chiclana de la Frontera",2025-08-20,2025-08-20,39,1284,95000,"Condor Bus",Cama,"{Wifi,Agua,Baño}",{},,{}
"José Emilio Lerma Olmos",21860756,0,joemleol@viajes.cl,Joséolmos,RJ804qaMrSWZNh,"+56 2 2800 6961",Diurno,Banmédica,"Full time",583429,70979,2026-04-26,1572000,6,"No disponible",52958,Gecho,Mérida,2026-09-18,2026-09-20,18,2992,262000,"MÁV (Hungría)",,"{Wifi,""Asientos reclinables"",TV,Calefacción,Baño,Comida}",{},,"{Paterna,""Pozuelo de Alarcón"",""El Ejido"",Calahorra,Orihuela}"
"Marco Antonio Leiva González",3610125,3,marco4385@viajes.cl,maanlego,VwhyBsL8sg6,"+56 9 6593 2388",Diurno,"Más vida","Part time",583433,70979,2025-01-12,774000,6,"No disponible",40462,Mérida,Rubí,2026-09-23,2026-09-24,43,2471,129000,"NSB (Noruega)",,"{Calefacción,Baño,Comida,TV,""Asientos reclinables""}",{},,"{""Santiago de Compostela"",Vigo,""Pozuelo de Alarcón""}"
"Catalina Ocasio Benavides",8000353,6,catalina8725@viajes.cl,catalina2142,c0Fecq9rU,"+56 9 4028 6246",Nocturno,Banmédica,"Part time",583437,70979,2025-07-09,1368000,6,"No disponible",36438,Rubí,Almería,2026-09-27,2026-09-28,74,2851,228000,Renfe,,"{""Asientos reclinables"",Wifi,Baño,Comida,""Aire acondicionado""}",{},,"{Vitoria,Almería,""Dos Hermanas"",""Molina de Segura"",Huelva}"
"José Emilio Villareal Garrido",29622592,4,josOo5806@viajes.cl,joemviga,5Rzy49D5,"+56 2 3682 5675",Nocturno,Banmédica,"Full time",583438,63317,2025-07-22,576000,6,"No disponible",78126,Elche,"Dos Hermanas",2026-05-02,2026-05-04,42,3087,96000,"Flecha Bus",Cama,"{Agua,Comida,Calefacción}",{},,{}
"Ana María Camacho Partida",4353956,6,anmacapa@viajes.ceele,anmacapa,96h61YaHt8Eol,"+56 9 0775 6630",Diurno,Banmédica,"Full time",583439,62726,2025-06-13,178000,2,"No disponible",5323,"Hospitalet de LLobregat",Sabadell,2025-08-31,2025-09-01,90,1925,89000,"Delta Air Lines",,{},{},"Clase ejecutiva",{}
"Timoteo Bravo Cardona",20371355,0,timoteo6041@viajes.cl,tibrca,gX7b17uo,"+56 2 5066 7694",Diurno,Consalud,"Part time",583446,62726,2025-05-29,132000,2,"No disponible",95792,Sabadell,Ávila,2025-09-07,2025-09-08,78,1614,66000,"Japan Airlines",,{},{Estepona},"Clase ejecutiva",{}
"Andrea Montoya Sierra",7640891,2,andrea2946@viajes.ceele,andrea5613,O2HKhc33,"+56 2 2382 3042",Nocturno,Banmédica,"Part time",583453,62726,2025-09-04,388000,2,"No disponible",2518,Ávila,Palencia,2025-09-14,2025-09-15,87,1711,194000,Iberia,,{},{},"Clase económica",{}
